"p_value","log10FDR","distal_fold_change","proximal_fold_change","gene","Change"
"NM_000528",0.0529313244613496,1.27628723884344,-0.125424169924271,0.125424169924271,"MAN2B1","No Change"
"NM_000530",0.418677036755852,0.378120858272145,-0.145170591033765,0.145170591033765,"MPZ","No Change"
"NM_000532",0.616734802644309,0.209901543433742,-0.0250346341918288,0.0250346341918288,"PCCB","No Change"
"NM_000535",0.942798339650143,0.0255811909773872,0.00996816909123555,-0.0099681690912357,"PMS2","No Change"
"NM_000538",0.685934648217135,0.163717259323377,-0.0758358380719946,0.0758358380719947,"RFXAP","No Change"
"NM_000540",0.15974127458446,0.796582854630045,-0.874469117916141,0.874469117916141,"RYR1","No Change"
"NM_000543",0.0278012733363264,1.55593531234538,0.124612406776129,-0.124612406776129,"SMPD1","Upregulated in Hypoxia"
"NM_000544",0.224409941933253,0.648957906635543,0.15200309344505,-0.15200309344505,"TAP2","No Change"
"NM_000545",0.0253036266487004,1.59681722899644,-0.246349442298473,0.246349442298474,"HNF1A","Upregulated in Normoxic"
"NM_000550",0.215009612424725,0.6675421236672,0.386437732538875,-0.386437732538875,"TYRP1","No Change"
"NM_000551",0.0552658893712343,1.25754283666266,-0.0747677684019722,0.0747677684019724,"VHL","No Change"
"NM_000553",0.0296524480379836,1.52793944646498,-0.146727178778793,0.146727178778793,"WRN","Upregulated in Normoxic"
"NM_000558",0.201511281183663,0.695700635782566,0.608598436380178,-0.608598436380179,"HBA1","No Change"
"NM_000559",0.602235943124512,0.220233328141082,-0.377590907966408,0.377590907966408,"HBG1","No Change"
"NM_000560",0.208672807289203,0.680534141321163,0.43182775117032,-0.43182775117032,"CD53","No Change"
"NM_000574",0.207751573791115,0.682455677598205,-0.155815402026877,0.155815402026876,"CD55","No Change"
"NM_000575",0.0836830958127135,1.07736226168057,0.405809659106874,-0.405809659106874,"IL1A","No Change"
"NM_000576",0.533893176894929,0.272545629349652,0.160075228260286,-0.160075228260286,"IL1B","No Change"
"NM_000581",0.281362363742478,0.550733996141204,0.0625440660087751,-0.0625440660087753,"GPX1","No Change"
