Buffa,Winter,Ragnum
TCGA.64.5778.01A.01R.1628.07,-12,-29,-16
TCGA.86.8075.01A.11R.2241.07,-8,-5,-6
TCGA.05.5423.01A.01R.1628.07,-20,-15,-12
TCGA.55.8510.01A.11R.2403.07,-30,-31,-20
TCGA.64.1680.01A.02R.0946.07,-22,-19,-18
TCGA.55.7903.01A.11R.2170.07, 2, 3,-2
TCGA.55.6969.01A.11R.1949.07,18,-7,16
TCGA.55.7995.01A.11R.2187.07,-16,-11,  6
TCGA.44.5645.01A.01R.1628.07,-42,-47,-24
TCGA.64.1677.01A.01R.0946.07,22,25,10
TCGA.55.8620.01A.11R.2403.07, 10,-15, 16
TCGA.MP.A4TJ.01A.51R.A262.07,-40,-51,-20
TCGA.55.A492.01A.11R.A24H.07,-20,-27,-20
TCGA.44.6145.01A.11R.1755.07,-18,-15,  0
TCGA.44.7661.01A.11R.2066.07,22,17, 6
TCGA.50.5941.01A.11R.1755.07,-16,-19,-14
TCGA.MN.A4N1.01A.11R.A24X.07, 0,-9, 0
TCGA.05.4433.01A.22R.1858.07,-38,-39,-18
TCGA.67.6215.01A.11R.1755.07,-32,-21,-26
TCGA.55.7570.01A.11R.2039.07,18, 1,18
TCGA.73.4658.01A.01R.1755.07,  0,  1,-10
TCGA.55.7724.01A.11R.2170.07,-18, -5, -4
TCGA.53.7626.01A.12R.2066.07,-38,-41,-18
TCGA.67.3772.01A.01R.0946.07,-10,-11,-10
TCGA.75.5122.01A.01R.1755.07,-10,-19,-14
TCGA.55.7727.01A.11R.2170.07,-10,-19, -2
TCGA.86.8359.01A.11R.2326.07,-20,-15,-20
TCGA.75.6205.01A.11R.1755.07, -8,-19,-10
TCGA.05.4397.01A.01R.1206.07, 8,-9,14
TCGA.73.4666.01A.01R.1206.07, 6,15,16
TCGA.50.8457.01A.11R.2326.07,-40,-51,-20
TCGA.50.5946.01A.11R.1755.07,-6,-7, 8
TCGA.71.8520.01A.11R.2403.07,-12,-15,-12
TCGA.L9.A7SV.01A.11R.A39D.07,-24,-23,-10
TCGA.64.5779.01A.01R.1628.07,-14,-33, -2
TCGA.78.7220.01A.11R.2039.07,-14, -9, 16
TCGA.50.5044.01A.21R.1858.07,28,27, 2
TCGA.MP.A4T7.01A.11R.A24X.07,-16,-13, -4
TCGA.93.7348.01A.21R.2039.07,-36,-43,-20
TCGA.62.8402.01A.11R.2326.07,-14,-27,  2
TCGA.55.6972.01A.11R.1949.07,-20,-25,-22
TCGA.44.5644.01A.21R.2039.07, -8,-23, -4
TCGA.55.7913.01B.11R.2241.07,  2,-11,  2
TCGA.55.6985.01A.11R.1949.07,-26,-13,-18
TCGA.50.5066.01A.01R.1628.07,22,15, 6
TCGA.69.7764.01A.11R.2170.07,-36,-49,-28
TCGA.L4.A4E6.01A.11R.A24H.07,-36,-39,-20
TCGA.44.2655.01A.01R.0946.07,-28,-19,-18
TCGA.NJ.A4YI.01A.11R.A262.07,-38,-35,-26
TCGA.97.7546.01A.11R.2039.07,-40,-41,-24
TCGA.97.8175.01A.11R.2287.07,  8, 11,-16
TCGA.78.8640.01A.11R.2403.07, 10,-11, 14
TCGA.05.5715.01A.01R.1628.07,-26,-41,-14
TCGA.53.7813.01A.11R.2170.07, -4,-17, -4
TCGA.78.7162.01A.21R.2066.07,-40,-45,-16
TCGA.MN.A4N5.01A.11R.A24X.07,-18,-11,-10
TCGA.44.2657.01A.01R.1107.07,-30,-59,-22
TCGA.55.8505.01A.11R.2403.07, 2,11,-2
TCGA.97.7552.01A.11R.2039.07,-42,-49,-24
TCGA.69.7763.01A.11R.2170.07,-36,-25,-20
TCGA.64.5781.01A.01R.1628.07, 6, 3,-8
TCGA.05.4249.01A.01R.1107.07,-38,-37,-18
TCGA.05.4420.01A.01R.1206.07, 8,-3, 8
TCGA.69.7978.01A.11R.2187.07,-18, -5,-12
TCGA.53.7624.01A.11R.2066.07,12,13,18
TCGA.97.7938.01A.11R.2170.07,-38,-35,-24
TCGA.49.AAQV.01A.11R.A39D.07, 8,-5,-6
TCGA.55.6968.01A.11R.1949.07,-14,-19, 14
TCGA.78.7542.01A.21R.2066.07,34,35,14
TCGA.44.A47G.01A.21R.A24H.07,-22,-27,-12
TCGA.L4.A4E5.01A.11R.A24X.07, 6,-9, 8
TCGA.55.7576.01A.11R.2066.07,-28,-15,-14
TCGA.38.A44F.01A.11R.A24H.07,-30,-25,-20
TCGA.50.5049.01A.01R.1628.07,-10,-21,-14
TCGA.55.8615.01A.11R.2403.07,-32,-31,-14
TCGA.55.8090.01A.11R.2241.07, -4,  5,-12
TCGA.86.A456.01A.11R.A24H.07,-28,-29,-18
TCGA.97.A4M5.01A.11R.A24X.07,-40,-37,-22
TCGA.L9.A443.01A.12R.A24H.07,-24,-27,-24
TCGA.44.A479.01A.31R.A24H.07,-32,-37,-14
